code_postal,nombre_pharmacies,population
62860,1,10915.0
62880,1,18058.0
62930,1,6358.0
62940,1,4884.0
62960,1,3487.0
62980,1,7042.0
63000,6,147327.0
63100,3,147327.0
63110,3,10650.0
63117,1,1740.0
63122,1,10256.0
63170,3,13012.0
63200,2,34040.0
63210,1,5875.0
63350,1,9150.0
63360,2,13406.0
63400,1,17454.0
63410,1,6670.0
63490,1,3427.0
63520,1,2783.0
63530,1,9739.0
63540,1,7869.0
63580,1,1768.0
63590,1,2564.0
63660,1,1255.0
63670,1,11767.0
63680,1,1056.0
63720,1,8682.0
63760,1,1054.0
63770,1,1699.0
63800,6,24047.0
63870,1,3566.0
63880,1,1370.0
63910,1,4376.0
63970,1,2812.0
64000,8,77066.0
64100,4,52749.0
64110,1,15983.0
64120,1,11385.0
64121,1,6768.0
64140,1,27781.0
64150,1,10276.0
64170,1,7058.0
